,Values,Param,Season
0,0.049,Cr,Winter
1,0.089,Cr,Winter
2,0.095,Cr,Winter
3,1.423,Cr,Winter
4,0.025,Cr,Winter
5,0.031,Cr,Winter
6,0.296,Cr,Winter
7,1.102,Cr,Winter
8,0.511,Cr,Winter
9,0.044,Cr,Summer
10,0.083,Cr,Summer
11,0.082,Cr,Summer
12,1.139,Cr,Summer
13,0.029,Cr,Summer
14,0.045,Cr,Summer
15,0.198,Cr,Summer
16,1.133,Cr,Summer
17,0.37,Cr,Summer
18,1.084,Mn,Winter
19,1.198,Mn,Winter
20,1.178,Mn,Winter
21,3.791,Mn,Winter
22,1.1,Mn,Winter
23,0.998,Mn,Winter
24,3.262,Mn,Winter
25,2.979,Mn,Winter
26,1.245,Mn,Winter
27,0.995,Mn,Summer
28,1.178,Mn,Summer
29,1.073,Mn,Summer
30,3.45,Mn,Summer
31,1.002,Mn,Summer
32,0.872,Mn,Summer
33,3.107,Mn,Summer
34,2.456,Mn,Summer
35,1.114,Mn,Summer
36,0.102,Ni,Winter
37,0.128,Ni,Winter
38,0.207,Ni,Winter
39,1.252,Ni,Winter
40,0.058,Ni,Winter
41,0.062,Ni,Winter
42,0.721,Ni,Winter
43,0.356,Ni,Winter
44,0.256,Ni,Winter
45,0.107,Ni,Summer
46,0.495,Ni,Summer
47,0.149,Ni,Summer
48,0.065,Ni,Summer
49,0.089,Ni,Summer
50,0.216,Ni,Summer
51,1.023,Ni,Summer
52,0.451,Ni,Summer
53,0.385,Ni,Summer
54,0.388,Cu,Winter
55,0.965,Cu,Winter
56,1.42,Cu,Winter
57,0.926,Cu,Winter
58,0.198,Cu,Winter
59,0.85,Cu,Winter
60,1.832,Cu,Winter
61,0.652,Cu,Winter
62,0.095,Cu,Winter
63,0.458,Cu,Summer
64,0.932,Cu,Summer
65,1.597,Cu,Summer
66,0.988,Cu,Summer
67,0.114,Cu,Summer
68,1.976,Cu,Summer
69,1.851,Cu,Summer
70,0.633,Cu,Summer
71,0.115,Cu,Summer
72,0.286,Zn,Winter
73,0.623,Zn,Winter
74,0.669,Zn,Winter
75,0.612,Zn,Winter
76,0.307,Zn,Winter
77,0.598,Zn,Winter
78,0.753,Zn,Winter
79,0.335,Zn,Winter
80,0.173,Zn,Winter
81,0.187,Zn,Summer
82,0.659,Zn,Summer
83,0.573,Zn,Summer
84,0.602,Zn,Summer
85,0.309,Zn,Summer
86,0.759,Zn,Summer
87,0.755,Zn,Summer
88,0.442,Zn,Summer
89,0.292,Zn,Summer
90,0.191,As,Winter
91,0.156,As,Winter
92,0.095,As,Winter
93,0.102,As,Winter
94,0.079,As,Winter
95,0.061,As,Winter
96,0.098,As,Winter
97,0.107,As,Winter
98,0.062,As,Winter
99,0.109,As,Summer
100,0.102,As,Summer
101,0.063,As,Summer
102,0.098,As,Summer
103,0.057,As,Summer
104,0.075,As,Summer
105,0.112,As,Summer
106,0.161,As,Summer
107,0.059,As,Summer
108,0.007,Cd,Winter
109,0.008,Cd,Winter
110,0.015,Cd,Winter
111,2.21,Cd,Winter
112,0.003,Cd,Winter
113,0.005,Cd,Winter
114,0.092,Cd,Winter
115,0.165,Cd,Winter
116,0.082,Cd,Winter
117,0.003,Cd,Summer
118,0.007,Cd,Summer
119,0.018,Cd,Summer
120,2.1,Cd,Summer
121,0.005,Cd,Summer
122,0.007,Cd,Summer
123,0.106,Cd,Summer
124,0.193,Cd,Summer
125,0.069,Cd,Summer
126,0.014,Hg,Winter
127,0.036,Hg,Winter
128,0.081,Hg,Winter
129,0.124,Hg,Winter
130,0.002,Hg,Winter
131,0.009,Hg,Winter
132,0.092,Hg,Winter
133,0.137,Hg,Winter
134,0.107,Hg,Winter
135,0.009,Hg,Summer
136,0.027,Hg,Summer
137,0.108,Hg,Summer
138,0.176,Hg,Summer
139,0.093,Hg,Summer
140,0.017,Hg,Summer
141,0.089,Hg,Summer
142,0.255,Hg,Summer
143,0.198,Hg,Summer
144,0.376,Pb,Winter
145,0.395,Pb,Winter
146,0.441,Pb,Winter
147,1.388,Pb,Winter
148,0.316,Pb,Winter
149,0.294,Pb,Winter
150,0.567,Pb,Winter
151,1.979,Pb,Winter
152,0.953,Pb,Winter
153,0.188,Pb,Summer
154,0.452,Pb,Summer
155,0.337,Pb,Summer
156,1.836,Pb,Summer
157,0.119,Pb,Summer
158,0.178,Pb,Summer
159,1.457,Pb,Summer
160,2.144,Pb,Summer
161,1.075,Pb,Summer
