"","PC1","PC2","PC3","PC4","PC5"
"Temperature",0.711709089923006,0.0275438755685908,-0.283183210280987,0.526839089119495,-0.0410326207547916
"pH",-0.903000802025437,0.251026309169076,-0.0888278670249446,-0.308588775261424,0.114585386042008
"EC",0.0110012584565395,0.784435647217315,-0.555879853148183,0.00167559793667793,0.194204485720828
"TSS",0.756302424079671,0.126290384355591,0.138937342448053,-0.327650002524663,-0.28943981050855
"Turbidity",0.48174885922231,0.251465949739081,-0.431472805885179,0.617266422032454,-0.29850648914433
"Salinity",-0.270838987747217,0.622873196698041,-0.422443432049193,-0.270640140742329,0.486016824966252
"TDS",0.720696897391925,0.0864415050193413,0.107282514248676,-0.535623001830012,-0.314249986699467
"DO",-0.806672944084428,-0.13903130569343,0.303402890612149,-0.192118550824407,-0.0993386098972945
"COD",0.967289644998048,0.215991432883863,-0.046649963102594,0.0329249404892555,-0.0391558627491507
"NH4.",0.921937979568039,0.161797042030897,-0.256372363115415,0.0748910455849516,0.00620873992907298
"NO3",0.876457318865674,0.000535997153609654,-0.369904841782489,0.0410537301834831,0.186794517086646
"Phosphate",0.0782808490776869,0.877573087856965,-0.330250057813374,-0.1780418188927,0.0236481928156813
"Sulfates",0.104432934489942,0.838915505860865,-0.0940495369984396,-0.384109130414735,0.250486696730666
"K",-0.40629318250272,0.733261953699318,0.369243526668156,0.31595724766904,-0.181893115225242
"Ca",-0.152906582261802,0.863737921633136,0.315839601706677,0.262840296560926,-0.0277960960417976
"Mg",-0.036428714187315,0.852133848625584,0.351503049479921,0.209420983341051,-0.0383518002942802
"Cl",-0.00917160163467612,0.931123557159108,-0.126573743932931,0.179713334969626,-0.0864013590061261
"Br",-0.426065509627945,-0.217473409966115,-0.00473434280158384,0.774160331455686,0.304476092633805
"Cd",0.615788802040338,-0.422526389491847,0.465008658961893,0.00061254751578784,0.460374752743713
"Cr",0.94074688060556,-0.214805919712284,0.149544972273552,0.0672242843694551,0.135972420089627
"Ni",0.671495873843906,-0.0212282250321964,0.607269953142401,-0.112663432463368,0.398629080016741
"Cu",0.0500600032959942,0.639848764026403,0.711603799077758,0.0601446446768066,-0.0871603599283376
"Zn",-0.0278302595364707,0.400680245638064,0.761283574851847,0.0252708865715845,-0.0126698711281693
"Mn",0.749660110159045,0.0696979999515015,0.584364713264314,-0.0777326150990201,0.0362417656610029
"Hg",0.899654898343829,0.323245744040362,0.0106400745357226,0.0739501617824321,0.140437226595787
"As",-0.331551587372241,-0.103053919665306,0.233134059723775,0.79452261137497,0.114994901655176
"Pb",0.932595386812173,-0.0895445270101437,-0.0933388358100381,0.154733007405578,-0.138785911254008
