,Values,Param,Seasons
0,25.0,Temperature,Winter
1,24.7,Temperature,Winter
2,25.2,Temperature,Winter
3,25.4,Temperature,Winter
4,23.8,Temperature,Winter
5,25.1,Temperature,Winter
6,24.2,Temperature,Winter
7,25.9,Temperature,Winter
8,25.2,Temperature,Winter
9,30.4,Temperature,Summer
10,30.7,Temperature,Summer
11,32.7,Temperature,Summer
12,32.8,Temperature,Summer
13,29.5,Temperature,Summer
14,32.2,Temperature,Summer
15,30.1,Temperature,Summer
16,32.9,Temperature,Summer
17,32.4,Temperature,Summer
18,8.25,pH,Winter
19,8.39,pH,Winter
20,8.11,pH,Winter
21,5.8,pH,Winter
22,8.93,pH,Winter
23,8.13,pH,Winter
24,8.62,pH,Winter
25,5.55,pH,Winter
26,8.1,pH,Winter
27,6.17,pH,Summer
28,5.89,pH,Summer
29,5.02,pH,Summer
30,4.37,pH,Summer
31,6.59,pH,Summer
32,5.33,pH,Summer
33,6.78,pH,Summer
34,4.11,pH,Summer
35,5.24,pH,Summer
36,1470.0,EC,Winter
37,1593.0,EC,Winter
38,1656.0,EC,Winter
39,767.0,EC,Winter
40,788.0,EC,Winter
41,1472.0,EC,Winter
42,1860.0,EC,Winter
43,1536.0,EC,Winter
44,2502.0,EC,Winter
45,1790.0,EC,Summer
46,1453.0,EC,Summer
47,2047.0,EC,Summer
48,538.0,EC,Summer
49,692.0,EC,Summer
50,1596.0,EC,Summer
51,1963.0,EC,Summer
52,2119.0,EC,Summer
53,2550.0,EC,Summer
54,190.0,TSS,Winter
55,156.0,TSS,Winter
56,142.0,TSS,Winter
57,357.0,TSS,Winter
58,213.0,TSS,Winter
59,320.0,TSS,Winter
60,398.0,TSS,Winter
61,465.0,TSS,Winter
62,300.0,TSS,Winter
63,309.0,TSS,Summer
64,322.0,TSS,Summer
65,434.0,TSS,Summer
66,461.0,TSS,Summer
67,178.0,TSS,Summer
68,296.0,TSS,Summer
69,302.0,TSS,Summer
70,464.0,TSS,Summer
71,387.0,TSS,Summer
72,59.6,Turbidity,Winter
73,78.6,Turbidity,Winter
74,85.3,Turbidity,Winter
75,48.9,Turbidity,Winter
76,28.8,Turbidity,Winter
77,42.5,Turbidity,Winter
78,39.9,Turbidity,Winter
79,127.4,Turbidity,Winter
80,75.5,Turbidity,Winter
81,108.0,Turbidity,Summer
82,126.0,Turbidity,Summer
83,174.0,Turbidity,Summer
84,162.0,Turbidity,Summer
85,82.0,Turbidity,Summer
86,76.0,Turbidity,Summer
87,108.0,Turbidity,Summer
88,175.0,Turbidity,Summer
89,162.0,Turbidity,Summer
90,685.0,Salinity,Winter
91,706.0,Salinity,Winter
92,642.0,Salinity,Winter
93,262.0,Salinity,Winter
94,370.0,Salinity,Winter
95,712.0,Salinity,Winter
96,960.0,Salinity,Winter
97,208.0,Salinity,Winter
98,1380.0,Salinity,Winter
99,639.0,Salinity,Summer
100,702.0,Salinity,Summer
101,730.0,Salinity,Summer
102,360.0,Salinity,Summer
103,244.0,Salinity,Summer
104,930.0,Salinity,Summer
105,1070.0,Salinity,Summer
106,1156.0,Salinity,Summer
107,1332.0,Salinity,Summer
108,778.0,TDS,Winter
109,912.0,TDS,Winter
110,986.0,TDS,Winter
111,1995.0,TDS,Winter
112,1502.0,TDS,Winter
113,1986.0,TDS,Winter
114,2155.0,TDS,Winter
115,2407.0,TDS,Winter
116,1750.0,TDS,Winter
117,852.0,TDS,Summer
118,1208.0,TDS,Summer
119,783.0,TDS,Summer
120,1790.0,TDS,Summer
121,825.0,TDS,Summer
122,2009.0,TDS,Summer
123,2036.0,TDS,Summer
124,2377.0,TDS,Summer
125,1895.0,TDS,Summer
126,1.82,DO,Winter
127,1.37,DO,Winter
128,0.14,DO,Winter
129,0.1,DO,Winter
130,2.12,DO,Winter
131,0.85,DO,Winter
132,1.72,DO,Winter
133,0.0,DO,Winter
134,0.13,DO,Winter
135,0.96,DO,Summer
136,0.73,DO,Summer
137,0.15,DO,Summer
138,0.12,DO,Summer
139,1.1,DO,Summer
140,0.51,DO,Summer
141,1.39,DO,Summer
142,0.0,DO,Summer
143,0.27,DO,Summer
