Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,1106.5797108802444,32.85232303977013,-39.527253637054024,33.26529288733596
General,RNN,44.88380304564021,5.905022033055624,-0.6438194667235275,6.699537524757974
General,GRU,979.0324387272241,30.850086822509766,-34.85597636851641,31.289494063139212
General,LSTM,899.3017475598115,29.52959813117981,-31.93592830344842,29.988360201248273
MA,CNN,40.24799701113074,5.356086599561904,-0.4740382163305472,6.344130910623672
MA,RNN,55.25131030979963,5.515128482182821,-1.0235179126171015,7.433122514112062
MA,GRU,23.18725089555981,3.922057246102227,0.15079267317954848,4.815314205278801
MA,LSTM,26.727125999012728,4.287017158932156,0.02114867668244025,5.169828430326555
DReg,CNN,121.83246446901678,9.319021316634284,-3.4619787803949382,11.037774434595807
DReg,RNN,57.29673059167473,5.662406214608087,-1.098429160078874,7.569460389728896
DReg,GRU,49.00457380574949,5.130869298511081,-0.7947381218670051,7.000326692787237
DReg,LSTM,28.11640396886957,4.300871198442247,-0.02973208690211182,5.302490355377326
MA DReg,CNN,74.99806746181586,7.654915139940049,-1.7467209749364683,8.66014246198155
MA DReg,RNN,70.88850364939023,6.641099923451741,-1.5962127618124917,8.41953108251227
MA DReg,GRU,65.09553265572747,6.231094756656223,-1.3840516292127316,8.068180256769644
MA DReg,LSTM,45.25371360151751,4.901564122305976,-0.657367030241693,6.7270880477006925
HY,CNN LSTM,211.75560389358668,13.581274669435288,-6.755313949535873,14.551824761643699
HY,LSTM RNN GRU,53.72268672043625,5.416428357230292,-0.9675337703880396,7.329576162400951
HY,CNN RNN GRU,28.70379828397616,4.282710986667209,-0.051244751700883606,5.357592582865569
HY,CNN GRU,261.50688457385434,15.30366958618164,-8.577399381857411,16.17117449580748
HY,RNN GRU,205.11700908311852,13.334594621658324,-6.512182783265475,14.321906614802323
HY,RNN LSTM,231.13179514142536,14.276801295810275,-7.464945446932997,15.203019277151014
MA HY,CNN LSTM,233.10532972263607,14.34575714111328,-7.537223960399144,15.267787322419581
MA HY,LSTM RNN GRU,48.455060806652966,5.098032013575236,-0.7746128182198528,6.96096694480393
MA HY,CNN RNN GRU,28.889515543601135,4.2757934040493435,-0.0580464401934484,5.374896793762754
MA HY,CNN GRU,236.92853459976473,14.478396072387694,-7.677244595368643,15.392483055042312
MA HY,RNN GRU,246.24738906661534,14.796647629208033,-8.018537296537389,15.692271634999674
MA HY,RNN LSTM,232.78192605156963,14.334504022598265,-7.525379659915776,15.257192600592338
