Model,MSE,RMSE
cnn,179.0813091568979,13.38212648112765
rnn,524.9960634727831,22.912792572551762
gru,585.909327214513,24.205563972246402
lstm,467.50143852214995,21.621781576043865
mvg_cnn,1129.315243715848,33.60528594902665
mvg_rnn,565.8417852254929,23.78742914283704
mvg_gru,583.9751627147143,24.165578054636192
mvg_lstm,716.741544700483,26.77202914798359
auto_cnn,106.57718568342736,10.323622701524274
auto_rnn,579.4428421624458,24.071619018305473
auto_gru,552.2830868732185,23.50070396548194
auto_lstm,643.4593403138828,25.366500356057845
mvg_auto_cnn,79.91765668227927,8.93966759350029
mvg_auto_rnn,588.3563628676221,24.256058271442665
mvg_auto_gru,536.3298295378102,23.15879594317913
mvg_auto_lstm,613.7264403922767,24.773502788105613
hybrid_cnn_lstm,734.6656354662958,27.104716111154822
hybrid_lstm_rnn_gru,436.23922065627715,20.88634052811256
hybrid_cnn_rnn_gru,395.61521561833695,19.89007832107096
hybrid_cnn_gru,707.4996095673499,26.598864817268986
hybrid_rnn_gru,704.3553972660432,26.539694747039633
hybrid_rnn_lstm,626.637935906817,25.032737283541667
mavg_hybrid_cnn_lstm,788.2415759473447,28.075640258903174
mavg_hybrid_lstm_rnn_gru,443.95304084159415,21.070193184724104
mavg_hybrid_cnn_rnn_gru,418.6415316613144,20.46073145469913
mavg_hybrid_cnn_gru,649.9461902770312,25.494042250632425
mavg_hybrid_rnn_gru,688.6912277703442,26.242927195157634
mavg_hybrid_rnn_lstm,682.2371920942335,26.119670596970273
