Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,3.0230845185842004,1.398143948449029,0.8867840048995319,1.7387019637028653
General,RNN,42.55665872063156,5.708946899837917,-0.5937677016928966,6.523546483365591
General,GRU,906.0458365127449,29.65373359044393,-32.93186011070151,30.100595285022933
General,LSTM,757.6482452901059,27.036019026438396,-27.37429767488447,27.525410901385396
MA,CNN,34.60672209307561,4.945829739040799,-0.2960386832875723,5.88274783524465
MA,RNN,53.67112450606177,5.555266286002265,-1.010009886180978,7.326057910367743
MA,GRU,25.00304000165572,3.983487315707736,0.06362391229141562,5.0003039909245235
MA,LSTM,24.15176859786697,3.843917147318523,0.09550444308307604,4.914444892138579
DReg,CNN,86.60220288318426,7.672910747528075,-2.2432948920343763,9.306030457890424
DReg,RNN,50.22454664248149,5.293729786343046,-0.8809338579992609,7.086927870557276
DReg,GRU,44.675160184062776,4.9121962907579215,-0.6731066185606562,6.68394794893428
DReg,LSTM,2.1691938619840894,1.1571743361155191,0.918762627991171,1.4728183397772074
MA DReg,CNN,53.779744160494715,6.486728734970092,-1.0140777454116732,7.333467403656657
MA DReg,RNN,62.935146605860865,6.240340115229289,-1.3569520488012552,7.933167501437295
MA DReg,GRU,45.18266041192339,4.941923643747966,-0.6921127505287639,6.7218048478011765
MA DReg,LSTM,48.09112309667762,5.125820155673558,-0.801036101841893,6.934776355202641
HY,CNN LSTM,199.4573785408035,13.143647054036458,-6.469776465992931,14.122938027931847
HY,LSTM RNN GRU,49.20246507453193,5.211139427820842,-0.842656402943704,7.014446883007379
HY,CNN RNN GRU,27.83084890473801,4.23748813841078,-0.0422789154159493,5.275495133609547
HY,CNN GRU,244.83891342051805,14.76946149190267,-8.169337162694763,15.647329274368776
HY,RNN GRU,223.37926289863967,14.024214949078031,-7.365662745586311,14.945877789499004
HY,RNN LSTM,233.09704234066143,14.366500741110908,-7.729598342798997,15.26751591912258
MA HY,CNN LSTM,184.37317153643303,12.556721600426568,-5.904865529562661,13.578408284347361
MA HY,LSTM RNN GRU,45.9194078203281,4.984593522813586,-0.7197043016307798,6.776386044222104
MA HY,CNN RNN GRU,27.89014700928696,4.236722841262817,-0.04449965845929138,5.281112289024629
MA HY,CNN GRU,228.1776363651175,14.194214548534818,-7.545364180836092,15.10554985312079
MA HY,RNN GRU,222.9925333228018,14.010344497892593,-7.35117953365687,14.93293451813145
MA HY,RNN LSTM,226.83623891594377,14.146930077870687,-7.495128189715157,15.0610835903644
