Metrics,ModelCat,Model,y
MSE,General,CNN,2.096228016147599
MSE,General,RNN,0.019627843962361304
MSE,General,GRU,0.020032484737903082
MSE,General,LSTM,0.015323456881749235
MSE,MA,CNN,2.3687814753744103
MSE,MA,RNN,0.04244520205947387
MSE,MA,GRU,0.04624254207283997
MSE,MA,LSTM,0.1798255536183044
MSE,AE,CNN,0.9814067733334674
MSE,AE,RNN,0.020153023701668486
MSE,AE,GRU,0.01822912426187086
MSE,AE,LSTM,0.016168546508410986
MSE,MA AE,CNN,1.417878941039189
MSE,MA AE,RNN,0.044949952790081925
MSE,MA AE,GRU,0.03679451897992238
MSE,MA AE,LSTM,0.08457772025444285
MSE,HY,CNN LSTM,0.8686514933794497
MSE,HY,LSTM RNN GRU,0.01721419981935117
MSE,HY,CNN RNN GRU,0.875667463121401
MSE,HY,CNN GRU,0.8796462165199062
MSE,HY,RNN GRU,0.01705316692030225
MSE,HY,RNN LSTM,0.01610528521505724
MSE,MA HY,CNN LSTM,0.8711143320686724
MSE,MA HY,LSTM RNN GRU,0.08498367618635615
MSE,MA HY,CNN RNN GRU,0.8824402995969678
MSE,MA HY,CNN GRU,0.8822033684813714
MSE,MA HY,RNN GRU,0.08218773906147123
MSE,MA HY,RNN LSTM,0.06251342089871727
RMSE,General,CNN,1.4478356316058805
RMSE,General,RNN,0.14009940743044313
RMSE,General,GRU,0.14153616053116277
RMSE,General,LSTM,0.12378795127858461
RMSE,MA,CNN,1.5390846225514732
RMSE,MA,RNN,0.20602233388512486
RMSE,MA,GRU,0.21504079164856132
RMSE,MA,LSTM,0.42405843184436787
RMSE,AE,CNN,0.9906597666875684
RMSE,AE,RNN,0.14196134580113168
RMSE,AE,GRU,0.13501527417988995
RMSE,AE,LSTM,0.1271555995951849
RMSE,MA AE,CNN,1.1907472196226994
RMSE,MA AE,RNN,0.2120140391343977
RMSE,MA AE,GRU,0.1918189745044071
RMSE,MA AE,LSTM,0.2908224892515069
RMSE,HY,CNN LSTM,0.9320147495503758
RMSE,HY,LSTM RNN GRU,0.13120289562106155
RMSE,HY,CNN RNN GRU,0.935771052726788
RMSE,HY,CNN GRU,0.9378945657801341
RMSE,HY,RNN GRU,0.1305877747735302
RMSE,HY,RNN LSTM,0.12690660036049048
RMSE,MA HY,CNN LSTM,0.9333350588447176
RMSE,MA HY,LSTM RNN GRU,0.2915195982886162
RMSE,MA HY,CNN RNN GRU,0.9393829355470366
RMSE,MA HY,CNN GRU,0.9392568171066801
RMSE,MA HY,RNN GRU,0.2866840404722091
RMSE,MA HY,RNN LSTM,0.25002684035662504
MAE,General,CNN,1.0761534011105285
MAE,General,RNN,0.10714233785971168
MAE,General,GRU,0.10858583792164506
MAE,General,LSTM,0.09667046312242746
MAE,MA,CNN,1.1428858876114505
MAE,MA,RNN,0.16580994296405047
MAE,MA,GRU,0.1772098983079195
MAE,MA,LSTM,0.37216990414592954
MAE,AE,CNN,0.8217746027641826
MAE,AE,RNN,0.10827626323948303
MAE,AE,GRU,0.10461703421961928
MAE,AE,LSTM,0.10480721665753258
MAE,MA AE,CNN,0.9511379169258807
MAE,MA AE,RNN,0.17952245665921104
MAE,MA AE,GRU,0.15487218421366478
MAE,MA AE,LSTM,0.2193252365787824
MAE,HY,CNN LSTM,0.7752837105592092
MAE,HY,LSTM RNN GRU,0.10657864631037225
MAE,HY,CNN RNN GRU,0.7725325820181105
MAE,HY,CNN GRU,0.7711634302139282
MAE,HY,RNN GRU,0.10394358730667994
MAE,HY,RNN LSTM,0.10181588310981168
MAE,MA HY,CNN LSTM,0.7741596762339273
MAE,MA HY,LSTM RNN GRU,0.21654228929016325
MAE,MA HY,CNN RNN GRU,0.7702397237883674
MAE,MA HY,CNN GRU,0.7703018169270621
MAE,MA HY,RNN GRU,0.22023366236024428
MAE,MA HY,RNN LSTM,0.1852689022156927
R2,General,CNN,-1.5047320296838929
R2,General,RNN,0.9765471651616823
R2,General,GRU,0.9760636697102294
R2,General,LSTM,0.9816903729167148
R2,MA,CNN,-1.8303995495661716
R2,MA,RNN,0.9492832572192456
R2,MA,GRU,0.9447459077105991
R2,MA,LSTM,0.7851308061748131
R2,AE,CNN,-0.17265915748736593
R2,AE,RNN,0.9759196406251096
R2,AE,GRU,0.9782184614173286
R2,AE,LSTM,0.9806805958125315
R2,MA AE,CNN,-0.6941891676277818
R2,MA AE,RNN,0.9462903913034194
R2,MA AE,GRU,0.9560351214200477
R2,MA AE,LSTM,0.8989401328066065
R2,HY,CNN LSTM,-0.03793060742446275
R2,HY,LSTM RNN GRU,0.9794311700250306
R2,HY,CNN RNN GRU,-0.04631381955434066
R2,HY,CNN GRU,-0.05106793551819666
R2,HY,RNN GRU,0.9796235843315724
R2,HY,RNN LSTM,0.9807561851980763
R2,MA HY,CNN LSTM,-0.04087339365827014
R2,MA HY,LSTM RNN GRU,0.8984550659066936
R2,MA HY,CNN RNN GRU,-0.05440651763941817
R2,MA HY,CNN GRU,-0.0541234143942122
R2,MA HY,RNN GRU,0.9017958633847043
R2,MA HY,RNN LSTM,0.9253042291182207
