Model,MSE,MAE,R2,RMSE
CNN,0.022655852701495758,0.0890432756394148,0.9731944635966207,0.15051861247532067
RNN,0.021047627525227635,0.09467696399324471,0.9750972539738039,0.14507800496707843
GRU,0.01608916166655752,0.07629307511366079,0.9809639206947929,0.12684305919740946
LSTM,0.02185900062699218,0.09468731938136948,0.9741372684238168,0.14784789693124545
MA CNN,0.038745692118964545,0.12830443623993135,0.954157582402517,0.19683925451739687
MA RNN,0.07086375490277212,0.17269223467446868,0.9161567217639528,0.2662024697533292
MA GRU,0.02113694183748409,0.10017305285566384,0.9749915807034099,0.145385493903223
MA LSTM,0.022136579698340632,0.09821513138090573,0.9738088475076022,0.14878366744485308
AE CNN,0.021039614356215135,0.09081744082685976,0.9751067348481943,0.1450503855776162
AE RNN,0.02128203565881117,0.10335415749500196,0.9748199112561932,0.1458836373923106
AE GRU,0.01525637732905437,0.07211066998127437,0.9819492391981054,0.12351670870394163
AE LSTM,0.023047953006694426,0.09684302027854656,0.9727305455466907,0.1518155229437834
MA AE CNN,0.026809862295516566,0.11715740042428176,0.9682795986891012,0.16373717444586788
MA AE RNN,0.028437558915484433,0.11853921294315824,0.966353770446171,0.16863439422456036
MA AE GRU,0.04178280203997067,0.1598289022843043,0.9505641903717144,0.2044084196895291
MA AE LSTM,0.0348292706146042,0.13384694696300561,0.9587913421902993,0.18662601805376497
HY CNN LSTM,0.017601858974701484,0.08024109905585648,0.9791741552291096,0.1326719977037411
HY LSTM RNN GRU,0.01837871217169749,0.08708494592871933,0.9782550123071226,0.1355681089773605
HY CNN RNN GRU,0.02956329153828337,0.10175130008512902,0.965021846761881,0.17193979044503738
HY CNN GRU,0.020710241875322555,0.08641810755348871,0.975496435741079,0.14391053427502296
HY RNN GRU,0.019173394008560964,0.08612421572725808,0.9773147752219061,0.13846802522084645
HY RNN LSTM,0.01816297118078234,0.08373572399011918,0.9785102687771338,0.13477006782213305
MA HY CNN LSTM,0.0240321107279734,0.105838690172467,0.9715661278585994,0.1550229361351842
MA HY LSTM RNN GRU,0.02488537649932285,0.11028651342209844,0.9705565765079167,0.1577509952403561
MA HY CNN RNN GRU,0.046911642747054456,0.15323693680990902,0.9444959426614089,0.21659095721441016
MA HY CNN GRU,0.025187601625199965,0.10845444986868343,0.9701989953247914,0.15870602264942552
MA HY RNN GRU,0.01919967942945626,0.09211383484924834,0.9772836753195555,0.13856290784137096
MA HY RNN LSTM,0.025640362448537058,0.11833790487506324,0.9696633060752233,0.16012608297381492
