ChildB,AdultB,ChildC,AdultC,ChildG,AdultG,ChildJ,AdultJ,ChildK,AdultK,ChildR,AdultR,ChildT,AdultT,ChildTe,AdultTe
,,6.93,1.569,2.415,0.547,3.955,0.895,3.325,0.753,3.57,0.808,4.76,1.078,8.295,1.879
1.225,0.277,6.23,1.411,5.705,1.292,3.255,0.737,1.715,0.388,5.775,1.308,1.47,0.333,2.59,0.586
152.32,34.505,466,105.65,369.15,83.622,33.03,74.988,293.965,66.592,400.085,90.632,272.475,61.723,315.42,71.452
12.215,2.767,16.695,3.781,4.445,1.006,10.675,2.418,9.38,2.124,12.32,2.791,12.635,2.862,17.955,4.067
53.165,12.043,83.825,18.988,77.56,17.569,101.15,22.91,69.37,15.714,40.18,9.102,60.025,13.597,75.565,17.117
451.89,102.366,554.085,125.52,287.88,65.212,603.855,136.791,523.145,118.51,566.615,128.356,473.69,107.305,284.445,64.435
1.47,0.333,1.995,0.451,1.505,0.341,1.785,0.404,1.645,0.372,1.82,0.412,1.96,0.444,2.135,0.483
11.235,2.545,17.9,4.043,9.765,2.212,15.365,3.481,13.965,3.163,14.525,3.29,16.695,3.782,18.795,4.257
2.52,0.57,9.77,2.212,1.855,0.42,6.16,1.395,3.045,0.689,7.385,1.673,7.595,1.72,11.025,2.497
2.415,0.547,5.25,1.189,1.925,0.436,5.985,1.355,2.66,0.602,3.255,0.737,3.43,0.777,4.34,0.983
2.03,0.459,2.73,0.618,2.73,0.618,1.61,0.364,4.13,0.935,2.135,0.483,2.205,0.499,3.395,0.769
,,0.05,0.011,0.017,0.004,0.028,0.006,0.024,0.005,0.026,0.006,0.034,0.008,0.059,0.013
0.009,0.002,0.045,0.01,0.041,0.009,0.023,0.005,0.012,0.003,0.041,0.009,0.011,0.002,0.019,0.004
0.218,0.049,0.666,0.151,0.527,0.119,0.473,0.107,0.42,0.095,0.572,0.129,0.389,0.088,0.451,0.102
0.407,0.092,0.557,0.126,0.148,0.034,0.356,0.081,0.313,0.071,0.411,0.093,0.421,0.095,0.599,0.136
0.177,0.04,0.279,0.063,0.259,0.059,0.337,0.076,0.231,0.052,0.134,0.03,0.2,0.045,0.252,0.057
1.506,0.341,1.847,0.418,0.96,0.217,2.013,0.456,1.744,0.395,1.889,0.428,1.579,0.358,0.948,0.215
0.49,0.111,0.665,0.151,0.502,0.114,0.595,0.135,0.548,0.124,0.607,0.137,0.653,0.148,0.712,0.161
0.15,0.034,0.238,0.054,0.13,0.029,0.205,0.046,0.186,0.042,0.194,0.044,0.223,0.05,0.251,0.057
2.52,0.571,9.765,2.212,1.855,0.42,6.16,1.395,3.045,0.69,7.385,1.673,7.595,1.721,11.025,2.498
8.05,1.824,17.5,3.964,6.417,1.454,19.95,4.519,8.867,2.009,10.85,2.458,11.433,2.59,14.467,3.277
0.58,0.131,0.78,0.177,0.78,0.177,0.46,0.104,1.18,0.267,0.61,0.138,0.63,0.143,0.97,0.22
14.114,3.197,32.391,7.338,11.635,2.636,30.6,6.932,16.57,3.754,22.717,5.146,23.168,5.248,29.751,6.739
,,3.47E-03,7.85E-04,1.21E-03,2.74E-04,1.98E-03,4.48E-04,1.66E-03,3.77E-04,1.79E-03,4.04E-04,2.38E-03,5.39E-04,4.15E-03,9.40E-04
2.21E-03,5.00E-04,2.99E-03,6.77E-04,2.26E-03,5.10E-04,2.68E-03,6.06E-04,2.47E-03,5.58E-04,2.73E-03,6.18E-04,2.94E-03,6.66E-04,3.20E-03,7.25E-04
9.58E-04,2.17E-04,3.71E-03,8.41E-04,7.05E-04,1.60E-04,2.34E-03,5.30E-04,1.16E-03,2.62E-04,2.81E-03,6.35E-04,2.89E-03,6.54E-04,4.19E-03,9.49E-04
1.73E-05,3.90E-06,2.32E-05,5.25E-06,2.32E-05,5.25E-06,1.37E-05,3.09E-06,3.51E-05,7.95E-06,1.81E-05,4.11E-06,1.87E-05,4.24E-06,2.89E-05,6.54E-06
3.18E-03,7.20E-04,1.02E-02,2.31E-03,4.20E-03,9.48E-04,7.01E-03,1.59E-03,5.32E-03,1.20E-03,7.34E-03,1.66E-03,8.22E-03,1.86E-03,1.16E-02,2.62E-03
