"","RC1","RC2","RC3"
"Bulk.Density",-0.386080806082916,0.547542443026857,0.371052253552089
"Sand",-0.312138627710093,0.426994191973175,0.66159707404882
"Silt",-0.943606554784272,-0.206573841995323,-0.169009817299069
"Clay",0.983244600690657,0.0563137169639237,-0.0543003442661995
"Moisture",-0.0730647951877669,-0.883910570507371,0.245427868164464
"pH",-0.396772198023742,-0.696059146415153,-0.067912093077537
"EC",0.0264671217035847,-0.12699742591331,0.933992366092101
"Organic.Carbon",0.800237500443726,0.242193693945751,-0.211406370726693
"Nitrogen",0.404312926214968,0.792460672334527,0.235695657819205
"CEC",0.878485128132603,0.0511366801443749,-0.248055912816467
