,K,Ca,Ti,Mn,Fe,Co,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb
K,1,0.03,0.18,0.22,0.52,0.22,-0.04,0.07,-0.07,0.22,0.02,-0.05,-0.16,0.12,-0.13
Ca,0.03,1,0.5,0.21,-0.09,-0.14,0.2,0.38,0.01,0.2,0.45,0.38,0.25,0.47,-0.15
Ti,0.18,0.5,1,0.34,-0.01,-0.24,0.31,0.48,-0.26,0.16,0.5,0.15,0.11,0.29,0.27
Mn,0.22,0.21,0.34,1,0.09,0.08,0.06,0.17,-0.23,0.34,0.1,-0.31,-0.22,-0.1,0.18
Fe,0.52,-0.09,-0.01,0.09,1,0.2,0.01,-0.33,-0.19,0.08,-0.38,-0.38,-0.44,0.22,-0.2
Co,0.22,-0.14,-0.24,0.08,0.2,1,-0.23,-0.08,-0.11,0.35,-0.03,0.1,0,0.35,-0.21
Cu,-0.04,0.2,0.31,0.06,0.01,-0.23,1,-0.05,-0.12,-0.23,-0.08,0,0.11,0.2,-0.14
Zn,0.07,0.38,0.48,0.17,-0.33,-0.08,-0.05,1,-0.27,0.62,0.8,0.39,-0.03,-0.03,0.01
As,-0.07,0.01,-0.26,-0.23,-0.19,-0.11,-0.12,-0.27,1,-0.28,-0.16,0.05,0.4,0.06,-0.15
Rb,0.22,0.2,0.16,0.34,0.08,0.35,-0.23,0.62,-0.28,1,0.52,0.05,-0.33,0.24,-0.19
Sr,0.02,0.45,0.5,0.1,-0.38,-0.03,-0.08,0.8,-0.16,0.52,1,0.68,0.13,0.25,-0.07
Y,-0.05,0.38,0.15,-0.31,-0.38,0.1,0,0.39,0.05,0.05,0.68,1,0.33,0.25,-0.28
Zr,-0.16,0.25,0.11,-0.22,-0.44,0,0.11,-0.03,0.4,-0.33,0.13,0.33,1,0.31,0.31
Nb,0.12,0.47,0.29,-0.1,0.22,0.35,0.2,-0.03,0.06,0.24,0.25,0.25,0.31,1,-0.08
Pb,-0.13,-0.15,0.27,0.18,-0.2,-0.21,-0.14,0.01,-0.15,-0.19,-0.07,-0.28,0.31,-0.08,1
