Location,Param,y
Sarankhola Range,K,-5.91
Sarankhola Range,K,-5.91
Sarankhola Range,K,-2.67
Sarankhola Range,K,-2.68
Sarankhola Range,K,-2.63
Khulna Range,K,-2.72
Khulna Range,K,-2.67
Khulna Range,K,-2.65
Khulna Range,K,-2.77
Khulna Range,K,-3.16
Chandpai Range,K,-0.57
Chandpai Range,K,-2.18
Chandpai Range,K,-2.4
Chandpai Range,K,-2.77
Chandpai Range,K,-2.77
Satkhira Range,K,-2.34
Satkhira Range,K,-3.45
Satkhira Range,K,-2.96
Satkhira Range,K,-2.38
Satkhira Range,K,-2.09
Sarankhola Range,Ca,0.06
Sarankhola Range,Ca,-0.05
Sarankhola Range,Ca,0.05
Sarankhola Range,Ca,0.53
Sarankhola Range,Ca,0.21
Khulna Range,Ca,0.71
Khulna Range,Ca,0.24
Khulna Range,Ca,-0.03
Khulna Range,Ca,-0.28
Khulna Range,Ca,0.29
Chandpai Range,Ca,0.02
Chandpai Range,Ca,-0.17
Chandpai Range,Ca,0.05
Chandpai Range,Ca,-0.08
Chandpai Range,Ca,0.52
Satkhira Range,Ca,0.69
Satkhira Range,Ca,-0.15
Satkhira Range,Ca,-0.36
Satkhira Range,Ca,0.65
Satkhira Range,Ca,0.49
Sarankhola Range,Ti,-1.24
Sarankhola Range,Ti,-0.88
Sarankhola Range,Ti,-1.26
Sarankhola Range,Ti,-0.49
Sarankhola Range,Ti,-0.19
Khulna Range,Ti,-1.07
Khulna Range,Ti,-1.07
Khulna Range,Ti,-0.96
Khulna Range,Ti,-1.11
Khulna Range,Ti,-1.28
Chandpai Range,Ti,-0.78
Chandpai Range,Ti,-0.86
Chandpai Range,Ti,-0.69
Chandpai Range,Ti,-1.19
Chandpai Range,Ti,-1.07
Satkhira Range,Ti,0.25
Satkhira Range,Ti,-1.11
Satkhira Range,Ti,-0.54
Satkhira Range,Ti,-0.17
Satkhira Range,Ti,-0.37
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Sarankhola Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Khulna Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Chandpai Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Satkhira Range,Cr,0
Sarankhola Range,Mn,-1.29
Sarankhola Range,Mn,-0.99
Sarankhola Range,Mn,-1.63
Sarankhola Range,Mn,-1.59
Sarankhola Range,Mn,-0.84
Khulna Range,Mn,-1.28
Khulna Range,Mn,-1.55
Khulna Range,Mn,-1.09
Khulna Range,Mn,-1.48
Khulna Range,Mn,-1.06
Chandpai Range,Mn,-0.78
Chandpai Range,Mn,-1.63
Chandpai Range,Mn,-1.63
Chandpai Range,Mn,-1.63
Chandpai Range,Mn,-1.5
Satkhira Range,Mn,-0.65
Satkhira Range,Mn,-0.95
Satkhira Range,Mn,-2.15
Satkhira Range,Mn,-0.99
Satkhira Range,Mn,-2.22
Sarankhola Range,Fe,-0.55
Sarankhola Range,Fe,-0.9
Sarankhola Range,Fe,-0.54
Sarankhola Range,Fe,-0.74
Sarankhola Range,Fe,-0.44
Khulna Range,Fe,-0.52
Khulna Range,Fe,-0.57
Khulna Range,Fe,-0.53
Khulna Range,Fe,-0.64
Khulna Range,Fe,-0.54
Chandpai Range,Fe,-0.37
Chandpai Range,Fe,-0.39
Chandpai Range,Fe,-0.66
Chandpai Range,Fe,-0.65
Chandpai Range,Fe,-0.73
Satkhira Range,Fe,-0.54
Satkhira Range,Fe,-0.77
Satkhira Range,Fe,-0.67
Satkhira Range,Fe,-0.88
Satkhira Range,Fe,-0.55
Sarankhola Range,Co,-3.74
Sarankhola Range,Co,0
Sarankhola Range,Co,-3.51
Sarankhola Range,Co,-3.62
Sarankhola Range,Co,-3.36
Khulna Range,Co,-3.85
Khulna Range,Co,3.4
Khulna Range,Co,3.25
Khulna Range,Co,2.9
Khulna Range,Co,2.83
Chandpai Range,Co,2.46
Chandpai Range,Co,0
Chandpai Range,Co,0
Chandpai Range,Co,-1.04
Chandpai Range,Co,-1.21
Satkhira Range,Co,-0.7
Satkhira Range,Co,-0.7
Satkhira Range,Co,-0.28
Satkhira Range,Co,1.24
Satkhira Range,Co,1.32
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Sarankhola Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Khulna Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
Chandpai Range,Ni,0
