"","Dim.1","Dim.2","Dim.3"
"K",0.104239766813966,0.572754551482365,0.222926366006861
"Ca",0.686073995908115,-0.121901320310116,0.0999417674571815
"Ti",0.666612725463088,0.0718164670684226,-0.379128117448374
"Mn",0.231774436702517,0.501957823910839,-0.434825667061376
"Fe",-0.284761844655141,0.69878373009123,0.257505816821774
"Co",0.0190966990151077,0.372063940712744,0.606512442285113
"Cu",0.0927691779949412,-0.11926542226972,-0.117538993161259
"Zn",0.82594024394968,0.0875120771219714,-0.229299588154852
"As",-0.230672155045756,-0.501565730358633,0.345908188235508
"Rb",0.568893987187475,0.571491508791375,0.119563674656827
"Sr",0.911667248446218,-0.0921284149883146,0.00940811704254841
"Y",0.605895269068097,-0.417870666288413,0.408216300706616
"Zr",0.17211759181584,-0.729040091510704,0.152771461337497
"Nb",0.396299090783615,0.00742473825662345,0.558366126202778
"Pb",-0.0509986182347076,-0.18196801503719,-0.628043503947674
