Model,MSE,RMSE
cnn,4.568561842487333,2.1374194353208575
rnn,0.10795842886050469,0.3285702799409963
gru,0.5292691357375974,0.7275088561231384
lstm,0.7003126804357737,0.8368468679727336
mvg_cnn,5.547666659768962,2.355348521932362
mvg_rnn,0.16200078031444162,0.40249320530220334
mvg_gru,0.6706466532394609,0.8189301882574979
mvg_lstm,0.7124598474151714,0.8440733661330462
auto_cnn,3.3200491236996568,1.8221001958453484
auto_rnn,0.1528851486870835,0.3910053051904584
auto_gru,0.4803899288106906,0.693101672780185
auto_lstm,0.6213411576651119,0.7882519633119298
mvg_auto_cnn,3.040752363588333,1.7437753191246668
mvg_auto_rnn,0.25197869347609847,0.5019747936660749
mvg_auto_gru,0.712949545106836,0.8443633963565901
mvg_auto_lstm,0.6917141579808146,0.8316935481178236
hybrid_cnn_lstm,0.8668119040837196,0.9310273379894489
hybrid_lstm_rnn_gru,0.02872408379610063,0.16948180963189127
hybrid_cnn_rnn_gru,0.853265618645046,0.9237237783261001
hybrid_cnn_gru,0.8519152303306708,0.9229925407773731
hybrid_rnn_gru,0.09268472460025312,0.3044416604215874
hybrid_rnn_lstm,0.11397967483449524,0.3376087600085271
mavg_hybrid_cnn_lstm,0.8540635020835788,0.9241555616256274
mavg_hybrid_lstm_rnn_gru,0.5254232888685907,0.7248608755261873
mavg_hybrid_cnn_rnn_gru,0.8566135497744468,0.9255341969773169
mavg_hybrid_cnn_gru,0.8593044718539208,0.9269867700533383
mavg_hybrid_rnn_gru,0.2703670719418616,0.5199683374416769
mavg_hybrid_rnn_lstm,0.7130596502344496,0.8444285939228074
